code_token,comment_words
for,loop|iterate|iterates|iterating|each|every|over
foreach,loop|iterate|each|every
while,loop|until|repeat|repeatedly
if,check|checks|whether|condition|when|only
elif,otherwise|else|another
else,otherwise|else|fallback|default
switch,check|depending|choose|select|case
match,check|depending|choose|select|case
return,give|gives|yield|result|output
def,function|method|define|defines
fn,function|method|define|defines
func,function|method|define|defines
function,function|method|define|defines
class,class|object|type|define|defines
struct,structure|type|define|defines
import,import|imports|load|include|bring
require,import|load|include|need|needs
include,import|load|include
use,import|use|load
try,attempt|try|handle|guard
catch,handle|error|exception|failure|fail
except,handle|error|exception|failure|fail
rescue,handle|error|exception|failure|fail
raise,error|exception|fail|throw|raise
throw,error|exception|fail|throw|raise
panic,error|exception|fail|abort|crash
none,empty|nothing|missing|null|nil|absent
null,empty|nothing|missing|none|nil|absent
nil,empty|nothing|missing|none|null|absent
undefined,empty|nothing|missing|unset|absent
len,length|size|count|number
length,length|size|count|number
size,length|size|count|number
count,length|size|count|number|total
append,add|append|push|insert|extend
push,add|append|push|insert
add,add|append|insert|increase|sum
insert,add|append|insert|put
pop,remove|drop|take|delete
remove,remove|drop|delete|discard
delete,remove|drop|delete|discard
del,remove|drop|delete|discard
print,print|output|display|show|log|write
println,print|output|display|show|log|write
console,print|output|display|show|log
log,print|output|record|log|write
new,create|creates|construct|instance|allocate|initialize
init,create|initialize|initialise|setup|set|start
make,create|construct|build
open,open|read|access
close,close|release|free|finish
read,read|load|fetch|get
write,write|save|store|output
async,asynchronous|asynchronously|concurrent|background
await,wait|waits|await|until|completion
lambda,callback|anonymous|inline|function
sort,sort|order|arrange
sorted,sort|order|arrange
assert,verify|check|ensure|assert|validate
test,verify|check|test
self,self|instance|current|this
this,self|instance|current|this
true,enabled|true|yes|set|flag
false,disabled|false|no|unset|flag
str,string|text
string,string|text
int,integer|number
float,float|number|decimal
list,list|array|items|collection
array,list|array|items|collection
dict,dictionary|map|mapping|lookup|table
map,dictionary|map|mapping|lookup|table
hashmap,dictionary|map|mapping|lookup|table
set,set|assign|store|unique
get,get|fetch|retrieve|obtain|read
break,stop|exit|abort|leave
continue,skip|next|proceed
pass,nothing|skip|placeholder|noop
sleep,wait|pause|delay
join,combine|concatenate|merge|join
split,split|divide|separate|break
exit,exit|quit|terminate|stop
