lemma,forms,category,connotation,note
hack,hack|hacks|hacky|hackish,debt,negative,самоназвание костыля
kludge,kludge|kluge|kludgy,debt,negative,
workaround,workaround|workarounds|work around|work-around,debt,negative,обход проблемы; частотный маркер человеческой истории кода
quick fix,quick fix|quick-fix|quickfix,debt,negative,
quick and dirty,quick and dirty|quick & dirty,debt,negative,
band-aid,band aid|bandaid|band-aid,debt,negative,
duct tape,duct tape,debt,negative,
dirty,dirty,debt,negative,
ugly,ugly|uglier|ugliness,debt,negative,
nasty,nasty,debt,negative,
gross,gross,debt,negative,
horrible,horrible|terrible|awful,debt,negative,
messy,messy|mess,debt,negative,
spaghetti,spaghetti,debt,negative,
cruft,cruft|crufty,debt,negative,
code smell,code smell|smells|smelly,debt,negative,
tech debt,tech debt|technical debt,debt,negative,
magic number,magic number|magic numbers|magic constant,debt,negative,
magic,magic|magical|voodoo|black magic,debt,negative,«магия» как признак непрозрачности
cargo cult,cargo cult|cargo-cult,debt,negative,
yak shaving,yak shaving|yak-shaving,debt,negative,
footgun,footgun|foot gun|foot-gun,debt,negative,
monkey patch,monkey patch|monkey-patch|monkeypatch|monkey patching,debt,neutral,приём; коннотация зависит от контекста
gotcha,gotcha|gotchas,debt,negative,
legacy,legacy,debt,negative,
dead code,dead code|dead-code,debt,negative,
copy paste,copy paste|copy-paste|copypasta|copy/paste,debt,negative,
boilerplate,boilerplate,debt,neutral,
stupid,stupid|silly|dumb|idiotic|braindead|brain dead,expletive,negative,
crap,crap|crappy|shit|shitty|sucks|suck,expletive,negative,
damn,damn|dammit|goddamn|wtf|wth,expletive,negative,
hell,hell|hellish,expletive,negative,
sadly,sadly|unfortunately|annoying|annoyingly|painful,expletive,negative,эмоциональная оценка
for now,for now|for the time being|for the moment,provisional,negative,провизорность
temporary,temporary|temporarily|temp,provisional,negative,
placeholder,placeholder|place holder|stub|stubbed|dummy|mock,provisional,neutral,
someday,someday|some day|one day|eventually|in the future|in future|down the road,provisional,neutral,
not implemented,not implemented|unimplemented|not yet implemented|not supported yet|not yet,provisional,neutral,
at the moment,at the moment|currently|right now,provisional,neutral,
edge case,edge case|edge cases|corner case|corner cases,tech_idiom,neutral,
happy path,happy path|sad path,tech_idiom,neutral,
sanity check,sanity check|sanity checks|sanity,tech_idiom,neutral,
off by one,off by one|off-by-one|fencepost,tech_idiom,neutral,
race condition,race condition|race conditions|data race|racy,tech_idiom,neutral,
under the hood,under the hood|under-the-hood,tech_idiom,neutral,
heavy lifting,heavy lifting|heavy-lifting,tech_idiom,neutral,
best effort,best effort|best-effort,tech_idiom,neutral,
fire and forget,fire and forget|fire-and-forget,tech_idiom,neutral,
fall through,fall through|fallthrough|falls through|fall-through,tech_idiom,neutral,
bail out,bail out|bail|bails out,tech_idiom,neutral,
short circuit,short circuit|short-circuit|short circuits,tech_idiom,neutral,
fast path,fast path|fast-path|hot path|slow path|cold path,tech_idiom,neutral,
low hanging fruit,low hanging fruit|low-hanging fruit,tech_idiom,neutral,
rule of thumb,rule of thumb,tech_idiom,neutral,
trade off,trade off|tradeoff|trade-off|trade offs|tradeoffs,tech_idiom,neutral,
catch all,catch all|catch-all|catchall,tech_idiom,neutral,
no op,no op|no-op|noop|nop,tech_idiom,neutral,
on the fly,on the fly|on-the-fly,tech_idiom,neutral,
out of the box,out of the box|out-of-the-box,tech_idiom,neutral,
by design,by design|as designed|as intended,tech_idiom,neutral,
as expected,as expected|expected behavior|expected behaviour,tech_idiom,neutral,
syntactic sugar,syntactic sugar|sugar,tech_idiom,neutral,
in the wild,in the wild,tech_idiom,neutral,
take care,take care|take care of|taking care of,tech_idiom,neutral,
nice,nice|nicely|neat|neatly|cool|sweet,evaluative_pos,positive,
clean,clean|cleaner|cleanly|tidy,evaluative_pos,positive,
clever,clever|cleverly|smart|elegant|elegantly|beautiful,evaluative_pos,positive,
simple,simple|simply|simpler|easy|easily|trivial|trivially,evaluative_pos,positive,«простой» - оценка, а не описание
safe,safe|safely|safer|safety,evaluative_pos,positive,
graceful,graceful|gracefully,evaluative_pos,positive,
ensure,ensure|ensures|ensuring|ensured,llm_register,neutral,кандидат в «регистр LLM»; проверяется данными
leverage,leverage|leverages|leveraging|leveraged,llm_register,neutral,
utilize,utilize|utilizes|utilizing|utilised|utilise,llm_register,neutral,
facilitate,facilitate|facilitates|facilitating,llm_register,neutral,
streamline,streamline|streamlines|streamlined|streamlining,llm_register,neutral,
robust,robust|robustly|robustness,llm_register,positive,
comprehensive,comprehensive|comprehensively,llm_register,positive,
seamless,seamless|seamlessly,llm_register,positive,
crucial,crucial|crucially|essential|essentially|vital,llm_register,positive,
properly,properly|proper|appropriate|appropriately|correctly,llm_register,positive,
respective,respective|respectively|corresponding|correspondingly,llm_register,neutral,
delve,delve|delves|delving,llm_register,neutral,
enhance,enhance|enhances|enhanced|enhancing|enhancement,llm_register,positive,
as needed,as needed|as required|as appropriate|if necessary|if needed|when necessary|where necessary,llm_register,neutral,
efficient,efficient|efficiently|efficiency|optimal|optimally,llm_register,positive,
